condition,task,run,model,timestamp,success,not_applicable,input_tokens,input_tokens_cached,output_tokens,reasoning_tokens,total_cost_usd,wall_clock_seconds,turn_count,command_count,error_count
dart-mcp,counter_tree_inspect,1,claude-sonnet-4-6,2026-07-04T22:52:02.470Z,true,false,212020,195543,670,0,0.1682249,35.997,5,0,0
dart-mcp,counter_tree_inspect,2,claude-sonnet-4-6,2026-07-04T22:52:44.313Z,true,false,212040,195558,572,0,0.16678939999999998,34.87,5,0,0
dart-mcp,counter_tree_inspect,3,claude-sonnet-4-6,2026-07-04T22:53:24.538Z,true,false,212035,195555,663,0,0.16813650000000002,34.109,5,0,0
dart-mcp,native_gps_set,1,claude-sonnet-4-6,2026-07-04T22:53:24.541Z,false,true,0,0,0,0,0,0,0,0,0
dart-mcp,native_gps_set,2,claude-sonnet-4-6,2026-07-04T22:53:24.541Z,false,true,0,0,0,0,0,0,0,0,0
dart-mcp,native_gps_set,3,claude-sonnet-4-6,2026-07-04T22:53:24.542Z,false,true,0,0,0,0,0,0,0,0,0
dart-mcp,native_permission_cycle,1,claude-sonnet-4-6,2026-07-04T22:53:24.543Z,false,true,0,0,0,0,0,0,0,0,0
dart-mcp,native_permission_cycle,2,claude-sonnet-4-6,2026-07-04T22:53:24.543Z,false,true,0,0,0,0,0,0,0,0,0
dart-mcp,native_permission_cycle,3,claude-sonnet-4-6,2026-07-04T22:53:24.543Z,false,true,0,0,0,0,0,0,0,0,0
dart-mcp,counter_errors_clean,1,claude-sonnet-4-6,2026-07-04T22:53:54.972Z,true,false,201196,200843,471,0,0.07006689999999999,25.409,5,0,0
dart-mcp,counter_errors_clean,2,claude-sonnet-4-6,2026-07-04T22:54:29.603Z,true,false,201378,200807,527,0,0.0722041,28.347,5,0,0
dart-mcp,counter_errors_clean,3,claude-sonnet-4-6,2026-07-04T22:55:03.047Z,true,false,201393,200830,518,0,0.072028,27.71,5,0,0
dart-mcp,counter_increment_5,1,claude-sonnet-4-6,2026-07-04T22:55:57.460Z,true,false,448736,441364,1258,0,0.19612420000000003,48.993,11,0,1
dart-mcp,counter_increment_5,2,claude-sonnet-4-6,2026-07-04T22:56:52.382Z,true,false,497125,489202,1356,0,0.2152386,47.173,12,0,1
dart-mcp,counter_increment_5,3,claude-sonnet-4-6,2026-07-04T22:57:54.231Z,true,false,448814,441429,1254,0,0.1961517,56.264,11,0,1
dart-mcp,counter_hot_reload,1,claude-sonnet-4-6,2026-07-04T22:58:52.015Z,true,false,334397,325662,1183,0,0.16852160000000002,51.544,9,0,0
dart-mcp,counter_hot_reload,2,claude-sonnet-4-6,2026-07-04T22:59:42.507Z,true,false,374841,366101,1140,0,0.1800353,44.033,9,0,0
dart-mcp,counter_hot_reload,3,claude-sonnet-4-6,2026-07-04T23:00:28.215Z,true,false,334330,325626,1080,0,0.16677979999999998,39.403,9,0,0
dart-mcp,counter_restart_state,1,claude-sonnet-4-6,2026-07-04T23:01:34.966Z,true,false,450482,447935,1309,0,0.16993049999999996,60.79,11,0,1
dart-mcp,counter_restart_state,2,claude-sonnet-4-6,2026-07-04T23:02:37.289Z,true,false,450458,447917,1354,0,0.1705641,56.02,11,0,1
dart-mcp,counter_restart_state,3,claude-sonnet-4-6,2026-07-04T23:03:43.525Z,true,false,498130,495385,1581,0,0.18941950000000002,60.885,12,0,1
dart-mcp,native_deeplink,1,claude-sonnet-4-6,2026-07-04T23:03:43.528Z,false,true,0,0,0,0,0,0,0,0,0
